layer,subsegment,company,pbid,hq_country,status,vc_equity_raised_usd_m,debt_or_other_usd_m,total_raised_usd_m,last_round_date,last_round_type,last_round_size_usd_m,last_post_val_usd_m,notes
Application,enterprise-agents,Cresta,226300-60,United States,Private,282.1,0,282.1,2024-11-19,Series F (last sized),125.0,785.0,
Application,coding,Codeium / Windsurf,472303-45,United States,"Acquired (Cognition, 2025-07-10)",243.0,0,243.0,2025-02-19,Later Stage VC,,,"Legal name Exafunction. Last known val $2,400M (Jul 2025 Google reverse-acquihire event)."
Application,search-productivity,Clay,225887-77,United States,Private,206.0,0,206.0,2025-06-13,Series C,100.0,3000.0,
Application,creative,Mirage (fka Captions),498133-27,United States,Private,175.0,0,175.0,2026-03-24,Later Stage VC,75.0,,Last known val $560M (Jul 2024).
Application,legal-finance,Hebbia,439260-40,United States,Private,159.2,0,159.2,2024-10-14,Series B (last sized),130.0,700.0,
Application,creative,Pika,537093-55,United States,Private,141.2,0,141.2,2024-07-23,Series B,80.0,470.0,
Application,coding,StackBlitz (bolt.new),226127-89,United States,Private,135.4,0,135.4,2025-01-22,Series B,105.5,700.0,
Application,creative,Photoroom,435594-88,France,Private,75.3,0,75.3,2024-03-01,Series B,55.0,546.0,
Application,creative,HeyGen,462145-96,United States,Private,65.6,0,65.6,2024-06-20,Series A,60.0,500.0,
Application,enterprise-agents,/dev/agents,711753-13,United States,Private,56.0,0,56.0,2024-11-26,Seed,56.0,520.0,
Application,creative,Midjourney,509453-02,United States,"Private (no backing) — bootstrapped, PB-confirmed",0,0,0,,,,,Zero financing history; revenue $500M TTM 4Q2025.
Data/Infrastructure,data-platform,Databricks,59199-40,United States,Private,20412.0,9103.7,29515.7,2026-02-09,Series L ($5B equity + $2B loan),7000.0,136000.0,"Equity A-K $15,412M + $5,000M Series L equity. Debt $9,104M. Coatue-led round @ $188B post in progress (undisclosed), excluded."
Data/Infrastructure,chips,Groq,167350-06,United States,"Acquired (Nvidia, $20,000M, 2026-02-23)",3352.6,1.5,3354.1,2025-08-22,Series D2 (pre-acquisition),750.0,,Pre-acquisition equity through Series D2. Post-acquisition $650M round into subsidiary excluded.
Data/Infrastructure,chips,Cerebras Systems,163733-59,United States,Public (NASDAQ:CBRS; IPO 2026-05-14),2923.0,1700.0,11005.5,2026-05-14,IPO,6382.5,40627.9,"Pre-IPO VC equity $2,923M (A through H $1,100M Jan-2026). Debt 2x $850M Apr-2026. IPO $6,382.5M @ $40.6B — excluded from VC."
Data/Infrastructure,cloud,Crusoe,267230-08,United States,Private,2768.8,1372.5,4141.3,2025-10-24,Series E,1375.0,10000.0,"Seeking $3B @ $30B post (Jul-2026, upcoming, excluded)."
Data/Infrastructure,chips,SambaNova Systems,226766-53,United States,Private,2482.9,0.0,2482.9,2026-07-08,Series F,1000.0,11000.0,"Mar-2026 down round ~$2B pre, then $11B post Series F. $5B M&A entry Jan-2026 treated as data artifact."
Data/Infrastructure,cloud,Lambda,55138-69,United States,Private (pre-IPO round pending),2373.3,1775.0,4148.3,2025-11-18,Series E,1500.0,5434.0,"Debt: $500M Mar-2024 + $275M Aug-2025 + $1,000M May-2026. $350M Mubadala round upcoming, excluded."
Data/Infrastructure,tooling,Baseten,462191-14,United States,Private,2085.0,0.0,2085.0,2026-06-22,Series F,1500.0,13000.0,$2.15B -> $13B post in ~9 months.
Data/Infrastructure,tooling,Fireworks AI,561272-14,United States,Private,1827.0,0.0,1827.0,2026-07-16,Series D,1500.0,17500.0,Revenue run-rate ~$1B 2026E.
Data/Infrastructure,labeling,Scale AI,163154-17,United States,Private (~49% acquired by Meta Jun-2025),1602.9,14300.0,15902.9,2025-06-12,"Meta strategic (49% non-voting, booked as VC round)",14300.0,29000.0,"Classic VC $1,602.9M through Series F. Meta $14,300M primary recorded by PB as a VC round — held in debt_or_other here as corporate-strategic; shown both ways in report."
Data/Infrastructure,cloud,CoreWeave,327267-64,United States,Public (NASDAQ:CRWV; IPO 2025-03-28),1589.9,29283.4,34686.7,2026-07-20,Debt - DDTL (announced),2600.0,,"Pre-IPO VC equity $1,589.9M (Seed through Series C $1,100.3M Nov-2024). Debt ~$29,283M across ~12 GPU-backed facilities. IPO $1,500M @ $18,564M val; post-IPO PIPEs $350M + $2,000M Nvidia (not VC). Secondaries excluded. Acquired W&B $1.7B May-2025."
Data/Infrastructure,data-platform,VAST Data,182186-74,United States,Private,1398.0,0.0,1398.0,2025-10-05,Series F,1000.0,30000.0,Nvidia-led Series F.
Data/Infrastructure,cloud,Together AI,518020-12,United States,Private,1337.5,0.0,1337.5,2026-03-05,Series C,800.0,8300.0,All equity.
Data/Infrastructure,chips,Tenstorrent,171627-13,United States,Private (Qualcomm acquisition talks Jun-2026),1033.7,0.0,1033.7,2024-12-02,Series D (Samsung-led),699.0,2600.0,"$800M Fidelity round upcoming, excluded."
Data/Infrastructure,chips,Etched,522872-02,United States,Private,1010.4,34.5,1045.0,2026-07-24,Series C,300.0,10300.0,$34.5M TriplePoint revolver netted. New Sequoia round upcoming @ $20B post.
Data/Infrastructure,chips,Lightmatter,224352-73,United States,Private,821.3,0.0,821.4,2025-12-30,Series D (undisclosed),,,Last sized: $400M Oct-2024 @ $4.5B post.
Data/Infrastructure,labeling,Mercor,534425-05,United States,Private,519.3,0.0,519.3,2025-10-27,Series C,384.7,10000.0,"In talks @ $20B post (rumor), excluded."
Data/Infrastructure,tooling,Modal,504100-09,United States,Private,465.0,0.0,465.0,2026-05-21,Series C/C-1,355.0,4650.0,
Data/Infrastructure,tooling,Hugging Face,168527-08,United States,Private,394.7,0.0,394.7,2025-12-19,Later Stage VC (undisclosed),,,Last sized: Series D $235M Aug-2023 @ $4.5B post.
Data/Infrastructure,tooling,Anyscale,366545-71,United States,Private,259.9,0.0,259.9,2022-09-06,Series C,199.2,1378.0,No priced round since Sep-2022.
Data/Infrastructure,tooling,Weights & Biases,229220-20,United States,"Acquired (CoreWeave, $1,700M, 2025-05-05)",250.0,0.0,250.0,2023-08-09,Later Stage VC,50.0,,
Data/Infrastructure,labeling,Turing,235033-21,United States,Private,245.6,0.0,245.6,2025-06-11,Series E1,107.1,2200.0,
Data/Infrastructure,labeling,Snorkel AI,300289-33,United States,Private,238.2,0.0,238.2,2025-05-29,Series D/D-1,100.0,1300.0,
Data/Infrastructure,labeling,Labelbox,231451-03,United States,Private (PE-backed since Nov-2025),188.9,0.0,188.9,2025-11-01,PE Growth (undisclosed),,,No VC round since 2021 ($110M Series D @ $810M).
Data/Infrastructure,tooling,LangChain,522935-92,United States,Private,160.0,0.0,160.0,2025-10-20,Series B,125.0,1250.0,
Data/Infrastructure,tooling,Pinecone,431647-21,United States,Private,138.0,0.0,138.0,2023-04-27,Series B,100.0,750.0,No priced round since Apr-2023; CEO transition.
Data/Infrastructure,cloud,Prime Intellect,588977-92,United States,Private,137.9,0.0,137.9,2026-07-08,Series A,132.4,1000.0,
Data/Infrastructure,labeling,Invisible Technologies,222746-14,United States,Private,134.9,0.0,134.9,2026-02-05,Later Stage VC (undisclosed),,,Last sized: $100M Sep-2025 @ $2B post.
Data/Infrastructure,cloud,Foundry (now Mithril),532653-40,United States,Private,79.1,0.0,79.1,2023-08-01,Series A,75.0,350.0,
Data/Infrastructure,tooling,Weaviate,464236-03,Netherlands,Private,67.6,0.0,67.6,2026-02-24,Series B (PB date; reported Apr-2023),50.0,200.0,PB date conflict noted.
Data/Infrastructure,tooling,LlamaIndex,528687-73,United States,Private,27.4,0.0,27.4,2025-05-02,Series A,18.9,88.9,
Data/Infrastructure,cloud,Nebius Group,11445-49,Netherlands,"Public (NASDAQ:NBIS; Yandex carve-out, relisted Dec-2024)",,8775.0,12987.2,2026-07-10,Debt,775.0,,"Pre-IPO VC equity not meaningful (Yandex 1999 heritage). Nebius-era: $700M PIPE + $1,000M follow-on + $7,775M debt. EXCLUDED from VC equity totals."
Data/Infrastructure,labeling,Surge AI,472331-53,United States,Private (no backing — bootstrapped),0.0,0.0,0.0,,,,,"Zero outside capital; revenue $1,400M TTM 2025."
Model,frontier-general,OpenAI,149504-14,United States,"Private (In IPO Registration; filed 2026-06-08, IPO expected Sep 2026)",181916.5,4520.0,186436.5,2026-03-31,Later Stage VC (12th round),122000.0,852000.0,"Debt = $4.0B credit facility Oct-2024 + $520M Jul-2026. Grants ($1B 2015, $30M 2017) and tenders ($6.6B Oct-2025 at $500B; $1.6B Dec-2024 at $157B) excluded. Equity includes Microsoft $1B (2019) + $10B (Jan-2023) booked as VC rounds."
Model,frontier-general,Anthropic,466959-97,United States,"Private (In IPO Registration; filed 2026-06-01, IPO expected Oct 2026)",124254.0,37000.0,161254.0,2026-05-28,Series H,65000.0,965000.0,Debt = $2.5B May-2025 + $34.5B Jun-2026 (Alphabet chip purchases). Secondary $1.32B May-2024 excluded. Equity includes Google/Amazon strategic rounds.
Model,frontier-general,xAI,533035-45,United States,"Acquired (SpaceX, 2026-02-03, $250,000M)",42162.6,5000.0,47162.6,2026-01-07,Series E,20000.2,230000.0,Debt $5B Jun-2025. Standalone xAI; excludes X Corp merger and post-acquisition SpaceX financing.
Model,china-llm,Moonshot AI,529062-76,China,"Private (In IPO Registration, HKEX filed 2026-03-26)",7991.8,0.0,7991.8,2026-05-07,Series D,2000.0,20000.0,Deal pull rate-limited 2x; PB universe VC-only so total treated as equity. 10th round $2B possibly announced-only.
Model,frontier-general,Safe Superintelligence,606742-48,United States,Private,7000.0,0.0,7000.0,2025-04-11,Early Stage VC,6000.0,32000.0,$1B Sep-2024 @ $5B + $6B Apr-2025 @ $32B. Clean.
Model,china-llm,StepFun,721081-18,China,Private,3070.0,0.0,3070.0,2026-05-08,Early Stage VC,2500.0,,PB coverage begins late (pre-2024 rounds untracked); true total higher.
Model,frontier-general,Mistral AI,527294-17,France,"Private (Apple acquisition talks announced Jul-2025, Upcoming)",3037.1,973.1,4010.2,2025-09-09,Series C (last completed),1985.3,13663.7,"Debt = $143.1M term loan (Jun-2024) + $830M term loan Mar-2026 (Nvidia chips). EUR3B Samsung round @ EUR20B post is Rumor, excluded."
Model,world-embodied,Figure AI,521074-54,United States,Private,2245.0,100.0,2345.0,2025-05-22,Series C,1500.0,39000.0,$100M founder capitalization flagged non-VC.
Model,world-embodied,Skild AI,608340-52,United States,Private,2214.0,0.0,2214.0,2026-01-14,Series C,1400.0,14000.0,Post $14B estimated.
Model,frontier-general,Reflection AI,655606-00,United States,Private,2155.0,0.0,2155.0,2026-05-12,Series C (Announced/In Progress),2500.0,27500.0,Excludes in-progress $2.5B Series C; $2B Series B Oct-2025 @ $8B post.
Model,frontier-general,Thinking Machines Lab,752821-12,United States,Private,2000.0,0.0,2000.0,2025-06-20,Seed,2000.0,10000.0,"Largest seed in venture history. 2nd round Upcoming, excluded."
Model,frontier-general,Cohere,443089-09,Canada,Private,1640.0,0.0,1640.0,2026-04-24,Series E (Announced/In Progress),600.0,20000.0,Total through Series D1 ($700M Sep-2025 @ $7B); excludes announced $600M Series E. Announced acquirer of Aleph Alpha (Apr-2026).
Model,frontier-general,Inflection AI,493962-67,United States,Private,1565.0,0.0,1565.0,2023-06-29,Series B,1300.0,4000.0,Mar-2024 Microsoft team-hire (~$650M) not booked as financing; no raises since 2023.
Model,china-llm,Zhipu AI (Z.ai),481268-17,China,Public (HKG:02513; IPO 2026-01-08),1535.9,4565.3,6101.2,2026-07-13,PIPE (completed),4006.6,,"Deal pull rate-limited 2x; split DERIVED: total minus IPO $558.7M minus PIPE $4,006.6M -> ~$1,535.9M pre-IPO VC equity. debt_or_other = public-market capital, not debt. CNY15B further PIPE announced, excluded."
Model,china-llm,MiniMax,528653-35,China,Public (HKG:00100; IPO 2026-01-09),1389.5,619.0,2008.5,2026-07-10,PIPE (Announced/In Progress),1217.0,,"Split derived: total minus IPO $619.0M. debt_or_other = IPO proceeds. HKD9.54B PIPE in talks, excluded."
Model,world-embodied,World Labs,608754-43,United States,Private,1108.1,183.4,1291.5,2026-02-18,Series C/C-1,1000.0,5400.0,$183.4M debt embedded in Feb-2026 round.
Model,world-embodied,Physical Intelligence,590542-30,United States,Private,1070.7,0.0,1070.7,2025-11-20,Series B (last completed),600.0,5400.0,"Series C est $1B @ est $11B Upcoming, excluded."
Model,code-models,Magic (magic.dev),502658-20,United States,Private,1016.2,0.0,1016.2,2025-07-24,Series D-1/D-2/D-3,550.0,3800.0,Series D size and post both estimated.
Model,china-llm,Baichuan AI,534787-03,China,Private,988.5,50.0,1038.5,2025-04-01,Early Stage VC (undisclosed; B Capital),,,"$50M founder capitalization flagged non-institutional. Largest round $688.5M Jul-2024 @ $2,754M post."
Model,media-models,Luma AI,483378-04,United States,Private,966.6,0.0,966.6,2025-11-20,Series C,900.0,4000.0,$900M HUMAIN-led. Date discrepancy Nov-2025 vs Jan-2026.
Model,media-models,ElevenLabs,509315-23,United States,Private,850.4,0.0,850.4,2026-02-04,Series D,500.0,11000.0,$100M secondary Jan-2026 excluded; ~$22B secondary rumored.
Model,media-models,Runway,268803-28,United States,Private,843.9,15.0,858.9,2026-02-10,Series E (debt+equity),315.0,5300.0,$15M debt netted.
Model,media-models,Suno,512734-06,United States,Private,819.3,0.0,819.3,2026-06-03,Series D,400.0,5400.0,Series D size estimated.
Model,frontier-general,AI21 Labs,339869-26,Israel,Private (Nebius acquisition cancelled May-2026),636.9,0.0,636.9,2025-05-11,Series D,300.0,1400.0,
Model,code-models,Poolside,528350-68,United States,Private,623.1,0.0,623.1,2024-10-02,Series B (last completed),500.0,3000.0,"Seeking $2B @ $12B pre (Upcoming, excluded)."
Model,frontier-general,Aleph Alpha,435439-54,Germany,"Private (pending acquisition by Cohere, agreement 2026-04-09)",519.6,0.0,519.6,2023-11-06,Series B,486.2,,2023 round included grant/non-dilutive components booked as one VC round. Valuation stale (2020).
Model,frontier-general,Sakana AI,537652-45,Japan,Private,444.0,0.0,444.0,2025-11-17,Series B,200.0,2650.0,
Model,frontier-general,Imbue,163009-63,United States,Private,245.6,0.0,245.6,2023-10-20,Series B,212.0,1000.0,No financing since Oct-2023.
Model,china-llm,01.AI,532966-69,China,Private,200.0,0.0,200.0,2024-08-06,Early Stage VC (undisclosed),,,"UNDERSTATED: Aug-2024 'USD hundreds of millions' round undisclosed, not in total."
Model,frontier-general,Character.AI,512290-54,United States,Private,193.1,0.0,193.1,2023-05-10,Early Stage VC,,1000.0,Google Aug-2024 ~$2.5B licensing/acqui-hire not recorded as financing.
Model,frontier-general,Reka AI,528106-15,United States,Private,167.5,0.0,167.5,2025-07-22,Series B,110.0,1000.0,
